# kind	name	reason
tap	cloudflare/cloudflare	homebrew-tap-not-managed-by-nix
tap	daytonaio/cli	homebrew-tap-not-managed-by-nix
tap	dteoh/sqa	homebrew-tap-not-managed-by-nix
tap	go-task/tap	homebrew-tap-not-managed-by-nix
tap	grishka/grishka	homebrew-tap-not-managed-by-nix
tap	jakehilborn/jakehilborn	homebrew-tap-not-managed-by-nix
tap	lyraphase/pcloud	homebrew-tap-not-managed-by-nix
tap	microsoft/git	homebrew-tap-not-managed-by-nix
tap	modularml/packages	homebrew-tap-not-managed-by-nix
cask	affinity	no-nixpkg-mapping
cask	amazon-photos	no-nixpkg-mapping
cask	android-studio	nix-package-is-linux-only
cask	background-music	no-nixpkg-mapping
cask	battery	no-nixpkg-mapping
cask	chatgpt-atlas	no-nixpkg-mapping
cask	claude	no-nixpkg-mapping
cask	cleanshot	no-nixpkg-mapping
cask	codex-app	no-nixpkg-mapping
cask	codexbar	no-nixpkg-mapping
cask	corretto	no-nixpkg-mapping
cask	docker-desktop	no-nixpkg-mapping
cask	figma	no-nixpkg-mapping
cask	freefilesync	nix-package-is-linux-only
cask	ghostty	nix-package-is-linux-only
cask	google-drive	no-nixpkg-mapping
cask	google-japanese-ime	no-nixpkg-mapping
cask	hhkb-studio	no-nixpkg-mapping
cask	macfuse	no-nixpkg-mapping
cask	microsoft-office	no-nixpkg-mapping
cask	motu-m-series	no-nixpkg-mapping
cask	grishka/grishka/neardrop	no-nixpkg-mapping
cask	notchnook	no-nixpkg-mapping
cask	one-switch	no-nixpkg-mapping
cask	lyraphase/pcloud/pcloud-drive	nix-package-is-linux-only
cask	pliim	no-nixpkg-mapping
cask	popclip	no-nixpkg-mapping
cask	qtspim	nix-package-is-linux-only
cask	sensei	no-nixpkg-mapping
cask	sourcetree	no-nixpkg-mapping
cask	steermouse	no-nixpkg-mapping
cask	superwhisper	no-nixpkg-mapping
cask	textsniper	no-nixpkg-mapping
cask	tunnelblick	no-nixpkg-mapping
cask	unity-hub	nix-package-is-linux-only
cask	vlc	nix-package-is-linux-only
cask	vnc-viewer	no-nixpkg-mapping
cask	yoink	no-nixpkg-mapping
vscode	adpyke.codesnap	managed-outside-nix-package-set
vscode	ahmadawais.shades-of-purple	managed-outside-nix-package-set
vscode	alefragnani.bookmarks	managed-outside-nix-package-set
vscode	anandkothari.petals-pastels	managed-outside-nix-package-set
vscode	angablue.asm-formatter	managed-outside-nix-package-set
vscode	anthropic.claude-code	managed-outside-nix-package-set
vscode	arjun.swagger-viewer	managed-outside-nix-package-set
vscode	biomejs.biome	managed-outside-nix-package-set
vscode	christian-kohler.path-intellisense	managed-outside-nix-package-set
vscode	cschlosser.doxdocgen	managed-outside-nix-package-set
vscode	daylerees.rainglow	managed-outside-nix-package-set
vscode	dbaeumer.vscode-eslint	managed-outside-nix-package-set
vscode	diff001a.kawaii-theme	managed-outside-nix-package-set
vscode	donjayamanne.githistory	managed-outside-nix-package-set
vscode	donjayamanne.python-extension-pack	managed-outside-nix-package-set
vscode	dracula-theme.theme-dracula	managed-outside-nix-package-set
vscode	dsznajder.es7-react-js-snippets	managed-outside-nix-package-set
vscode	eamodio.gitlens	managed-outside-nix-package-set
vscode	ecmel.vscode-html-css	managed-outside-nix-package-set
vscode	emeraldwalk.runonsave	managed-outside-nix-package-set
vscode	esbenp.prettier-vscode	managed-outside-nix-package-set
vscode	formulahendry.auto-rename-tag	managed-outside-nix-package-set
vscode	formulahendry.code-runner	managed-outside-nix-package-set
vscode	frenco.vscode-notion	managed-outside-nix-package-set
vscode	github.copilot-chat	managed-outside-nix-package-set
vscode	github.vscode-github-actions	managed-outside-nix-package-set
vscode	github.vscode-pull-request-github	managed-outside-nix-package-set
vscode	golang.go	managed-outside-nix-package-set
vscode	google.colab	managed-outside-nix-package-set
vscode	google.geminicodeassist	managed-outside-nix-package-set
vscode	grapecity.gc-excelviewer	managed-outside-nix-package-set
vscode	gruntfuggly.todo-tree	managed-outside-nix-package-set
vscode	hediet.vscode-drawio	managed-outside-nix-package-set
vscode	humao.rest-client	managed-outside-nix-package-set
vscode	iamhyc.overleaf-workshop	managed-outside-nix-package-set
vscode	ibm.output-colorizer	managed-outside-nix-package-set
vscode	ionutvmi.path-autocomplete	managed-outside-nix-package-set
vscode	jaakko.black	managed-outside-nix-package-set
vscode	jackiotyu.git-worktree-manager	managed-outside-nix-package-set
vscode	james-yu.latex-workshop	managed-outside-nix-package-set
vscode	janisdd.vscode-edit-csv	managed-outside-nix-package-set
vscode	jeff-hykin.better-cpp-syntax	managed-outside-nix-package-set
vscode	johnpapa.vscode-peacock	managed-outside-nix-package-set
vscode	kdarkhan.mips	managed-outside-nix-package-set
vscode	kevinrose.vsc-python-indent	managed-outside-nix-package-set
vscode	lengmo.json-table-viewer	managed-outside-nix-package-set
vscode	marp-team.marp-vscode	managed-outside-nix-package-set
vscode	mathiasfrohlich.kotlin	managed-outside-nix-package-set
vscode	mde.select-highlight-minimap	managed-outside-nix-package-set
vscode	mechatroner.rainbow-csv	managed-outside-nix-package-set
vscode	mhutchie.git-graph	managed-outside-nix-package-set
vscode	mintlify.document	managed-outside-nix-package-set
vscode	mrmlnc.vscode-duplicate	managed-outside-nix-package-set
vscode	ms-azuretools.vscode-containers	managed-outside-nix-package-set
vscode	ms-azuretools.vscode-docker	managed-outside-nix-package-set
vscode	ms-dotnettools.vscode-dotnet-runtime	managed-outside-nix-package-set
vscode	ms-playwright.playwright	managed-outside-nix-package-set
vscode	ms-python.debugpy	managed-outside-nix-package-set
vscode	ms-python.python	managed-outside-nix-package-set
vscode	ms-python.vscode-pylance	managed-outside-nix-package-set
vscode	ms-python.vscode-python-envs	managed-outside-nix-package-set
vscode	ms-toolsai.jupyter	managed-outside-nix-package-set
vscode	ms-toolsai.jupyter-keymap	managed-outside-nix-package-set
vscode	ms-toolsai.jupyter-renderers	managed-outside-nix-package-set
vscode	ms-toolsai.vscode-jupyter-cell-tags	managed-outside-nix-package-set
vscode	ms-toolsai.vscode-jupyter-slideshow	managed-outside-nix-package-set
vscode	ms-vscode-remote.remote-containers	managed-outside-nix-package-set
vscode	ms-vscode-remote.remote-ssh	managed-outside-nix-package-set
vscode	ms-vscode-remote.remote-ssh-edit	managed-outside-nix-package-set
vscode	ms-vscode-remote.remote-wsl	managed-outside-nix-package-set
vscode	ms-vscode.cmake-tools	managed-outside-nix-package-set
vscode	ms-vscode.cpp-devtools	managed-outside-nix-package-set
vscode	ms-vscode.cpptools	managed-outside-nix-package-set
vscode	ms-vscode.cpptools-extension-pack	managed-outside-nix-package-set
vscode	ms-vscode.cpptools-themes	managed-outside-nix-package-set
vscode	ms-vscode.live-server	managed-outside-nix-package-set
vscode	ms-vscode.makefile-tools	managed-outside-nix-package-set
vscode	ms-vscode.remote-explorer	managed-outside-nix-package-set
vscode	ms-vscode.vscode-speech	managed-outside-nix-package-set
vscode	ms-vscode.vscode-typescript-next	managed-outside-nix-package-set
vscode	msjsdiag.vscode-react-native	managed-outside-nix-package-set
vscode	natizyskunk.sftp	managed-outside-nix-package-set
vscode	njpwerner.autodocstring	managed-outside-nix-package-set
vscode	oderwat.indent-rainbow	managed-outside-nix-package-set
vscode	openai.chatgpt	managed-outside-nix-package-set
vscode	pkief.material-icon-theme	managed-outside-nix-package-set
vscode	qufiwefefwoyn.kanagawa	managed-outside-nix-package-set
vscode	redhat.java	managed-outside-nix-package-set
vscode	redhat.vscode-yaml	managed-outside-nix-package-set
vscode	ritwickdey.liveserver	managed-outside-nix-package-set
vscode	rooveterinaryinc.roo-cline	managed-outside-nix-package-set
vscode	rust-lang.rust-analyzer	managed-outside-nix-package-set
vscode	sandcastle.vscode-open	managed-outside-nix-package-set
vscode	sanjulaganepola.github-local-actions	managed-outside-nix-package-set
vscode	saoudrizwan.claude-dev	managed-outside-nix-package-set
vscode	sazumiviki.kawaine-theme	managed-outside-nix-package-set
vscode	seatonjiang.gitmoji-vscode	managed-outside-nix-package-set
vscode	sgryjp.japanese-word-handler	managed-outside-nix-package-set
vscode	shardulm94.trailing-spaces	managed-outside-nix-package-set
vscode	shd101wyy.markdown-preview-enhanced	managed-outside-nix-package-set
vscode	soloham.json-table	managed-outside-nix-package-set
vscode	steoates.autoimport	managed-outside-nix-package-set
vscode	streetsidesoftware.code-spell-checker	managed-outside-nix-package-set
vscode	techer.open-in-browser	managed-outside-nix-package-set
vscode	tomoki1207.pdf	managed-outside-nix-package-set
vscode	usernamehw.errorlens	managed-outside-nix-package-set
vscode	vscjava.vscode-gradle	managed-outside-nix-package-set
vscode	vscjava.vscode-java-debug	managed-outside-nix-package-set
vscode	vscjava.vscode-java-dependency	managed-outside-nix-package-set
vscode	vscjava.vscode-java-pack	managed-outside-nix-package-set
vscode	vscjava.vscode-java-test	managed-outside-nix-package-set
vscode	vscjava.vscode-maven	managed-outside-nix-package-set
vscode	vscode-icons-team.vscode-icons	managed-outside-nix-package-set
vscode	waderyan.gitblame	managed-outside-nix-package-set
vscode	wakatime.vscode-wakatime	managed-outside-nix-package-set
vscode	wayou.vscode-todo-highlight	managed-outside-nix-package-set
vscode	wesbos.theme-cobalt2	managed-outside-nix-package-set
vscode	wholroyd.jinja	managed-outside-nix-package-set
vscode	wmaurer.change-case	managed-outside-nix-package-set
vscode	wollacebuarque.tailwind-theme	managed-outside-nix-package-set
vscode	xabikos.javascriptsnippets	managed-outside-nix-package-set
vscode	xirider.livecode	managed-outside-nix-package-set
vscode	yoavbls.pretty-ts-errors	managed-outside-nix-package-set
vscode	yzhang.markdown-all-in-one	managed-outside-nix-package-set
vscode	zwyx.autoclosetabs	managed-outside-nix-package-set
uv	claude-monitor	managed-outside-nix-package-set
